engine,fold,train_end,horizon_start,horizon_end,mae,rmse,mape,coverage_80,mean_interval_width,n
last_value,6,2011-04-19,2011-04-20,2011-05-17,8232.285714285714,10261.030194033012,44.713675461491825,0.9642857142857143,42348.5213623412,28
last_value,7,2011-05-17,2011-05-18,2011-06-14,15062.714285714286,16564.120590256865,116.90248769671574,0.7857142857142857,41657.572954604286,28
last_value,8,2011-06-14,2011-06-15,2011-07-12,6209.107142857143,8053.351540552187,58.93529050491444,1.0,40881.03645738176,28
last_value,9,2011-07-12,2011-07-13,2011-08-09,6403.5,9102.62021539481,31.284228431053585,0.9642857142857143,40192.38966376542,28
last_value,10,2011-08-09,2011-08-10,2011-09-06,8590.535714285714,10598.552733072298,57.23495850297977,0.9642857142857143,39822.30916690552,28
last_value,11,2011-09-06,2011-09-07,2011-10-04,9301.42857142857,11559.63205358569,34.24673298901844,0.9285714285714286,39543.18230221638,28
last_value,12,2011-10-04,2011-10-05,2011-11-01,10036.57142857143,13052.31322957188,48.58684503802005,0.8214285714285714,39404.82317300089,28
last_value,13,2011-11-01,2011-11-02,2011-11-29,13728.035714285714,15117.757587165026,42.499840586772,0.8571428571428571,39340.2840545316,28
mean,1,2010-11-30,2010-12-01,2010-12-28,15438.861154598828,19294.450906886726,78.98086205045736,0.7857142857142857,36157.3708384812,28
mean,2,2010-12-28,2010-12-29,2011-01-25,10912.132315521627,16365.42915038644,58.17422514148151,0.9642857142857143,37258.46766493063,28
mean,3,2011-01-25,2011-01-26,2011-02-22,6938.018408551069,8492.06293456124,99.91073575046356,1.0,37584.14568802407,28
mean,4,2011-02-22,2011-02-23,2011-03-22,5658.311247216036,7472.578345041396,59.22085860419245,1.0,36784.97324894637,28
mean,5,2011-03-22,2011-03-23,2011-04-19,6167.9785115303985,8272.846120010869,43.99136132419184,1.0,35980.956776153835,28
mean,6,2011-04-19,2011-04-20,2011-05-17,8254.36251768034,10357.729682134976,44.881972881764284,0.9642857142857143,35321.33987583317,28
mean,7,2011-05-17,2011-05-18,2011-06-14,5723.753015277406,7630.7012554080975,35.14637722589232,1.0,34911.655201196445,28
mean,8,2011-06-14,2011-06-15,2011-07-12,6196.901387827857,8010.981282578297,58.343888322755824,1.0,34305.77197314864,28
mean,9,2011-07-12,2011-07-13,2011-08-09,6402.357142857143,9094.624116516248,31.71104602095819,0.9642857142857143,33776.73175972533,28
mean,10,2011-08-09,2011-08-10,2011-09-06,7974.604364436212,10308.48380507198,48.57017361538869,0.9285714285714286,33372.30618150226,28
mean,11,2011-09-06,2011-09-07,2011-10-04,9672.986710963454,11840.240281015918,36.25033706936,0.8928571428571429,33100.42554365882,28
mean,12,2011-10-04,2011-10-05,2011-11-01,11728.628741243898,13630.701068679515,46.58224411671441,0.8214285714285714,32986.44543834704,28
mean,13,2011-11-01,2011-11-02,2011-11-29,14890.251732219282,16214.831022273716,47.860692830599284,0.6428571428571429,33060.75199639593,28
